day_position,rankic_F,rankic_E,rankic_H,F_minus_E,E_minus_H,F_minus_H,year,phase,n
2805,0.15132454620687688,0.13426728615141728,0.18428064755936077,0.0170572600554596,-0.05001336140794349,-0.03295610135248389,2018,0,2168
2810,0.05705179842922264,0.05080522244075001,0.0788144570443622,0.006246575988472627,-0.02800923460361219,-0.02176265861513956,2018,1,2202
2815,0.027673056699934473,0.003669421885059086,0.05028938581544819,0.024003634814875385,-0.0466199639303891,-0.022616329115513714,2018,2,2234
2820,0.22147548676348802,0.1726760754835386,0.21992130840628407,0.04879941127994941,-0.04724523292274546,0.0015541783572039503,2018,3,2229
2825,0.17757055881560538,0.1479908931825418,0.1604511747093332,0.02957966563306358,-0.012460281526791406,0.017119384106272173,2018,0,2223
2830,0.16469672781478273,0.13425360068786577,0.1560442764862963,0.030443127126916963,-0.021790675798430525,0.008652451328486438,2018,1,2258
2835,0.12328928777341654,0.10710734221000427,0.13761483135717334,0.016181945563412264,-0.030507489147169067,-0.014325543583756803,2018,2,2284
2840,0.11261150452795664,0.10809973144827174,0.13982650316346532,0.004511773079684894,-0.03172677171519357,-0.027214998635508678,2018,3,2290
2845,0.08469495026726628,0.08036335254778398,0.09344171193957103,0.0043315977194823,-0.013078359391787045,-0.008746761672304745,2018,0,2289
2850,0.17787059509074482,0.17341984213473183,0.20611217463613338,0.004450752956012993,-0.03269233250140155,-0.028241579545388557,2018,1,2326
2855,0.16785777542300434,0.1521428850523173,0.1316924105880555,0.015714890370687046,0.020450474464261792,0.03616536483494884,2018,2,2338
2860,0.14511940168070991,0.12973730137912393,0.13924825074128935,0.015382100301585988,-0.009510949362165427,0.005871150939420561,2018,3,2338
2865,0.38549884307004983,0.40085138290918976,0.3975618376997465,-0.015352539839139923,0.0032895452094432454,-0.012062994629696677,2018,0,2347
2870,0.3701770831101794,0.33810123456908403,0.31851388194383967,0.03207584854109535,0.01958735262524436,0.05166320116633971,2018,1,2385
2875,0.13467818682877766,0.15271007677115894,0.09955003773799649,-0.01803188994238128,0.05316003903316245,0.03512814909078117,2018,2,2402
2880,0.03742259700858516,-0.004626436680071301,-0.05188569112487076,0.042049033688656465,0.047259254444799455,0.08930828813345593,2018,3,2404
