clock,date,day_position,phase,n,k1_ic,reversal_mean10_ic,k1_spread,reversal_mean10_spread,k1_top30_excess,reversal_mean10_top30_excess
1430,2017-05-17,2520,3,1608,0.1784539517344818,0.23220769422913276,0.09498272993200771,0.08182903128690669,0.03230410033199119,0.0774004097839984
1430,2017-05-24,2525,0,1614,0.13376718467544912,0.16003801418651448,0.056671471371509206,0.02577623070661638,0.005846646400587097,0.05540613264663402
1430,2017-06-02,2530,1,1660,0.16594476101619396,0.17304700073148332,0.06150866382050886,0.033932078099376185,0.02780608745622476,0.09146129322665926
1430,2017-06-09,2535,2,1656,0.11302902307454736,0.13980155174542758,0.05649086681382456,0.0482202354878995,0.014025368007162836,0.05882013003306054
1430,2017-06-16,2540,3,1641,0.15647108402286466,0.17252909385204138,0.06622587998306079,0.04969346736115546,0.04892156487956544,0.05087080014874439
1430,2017-06-23,2545,0,1641,0.1805810224085114,0.18352690312002667,0.09611888453955322,0.08697731303103998,0.025917525247777306,0.0697182639732781
1430,2017-06-30,2550,1,1682,0.18616141789543147,0.1791894040828507,0.06931427117004724,0.07797863015279984,0.023435490319429795,0.026757242252198568
1430,2017-07-07,2555,2,1680,0.17727226920811695,0.15814442910850968,0.06380896285208153,0.07292968306137482,0.06908866007749478,0.06351230506722372
1430,2017-07-14,2560,3,1688,0.21412441509831318,0.13834815629810115,0.08498486090026008,0.06045410330508665,0.09032851001241585,0.04132975336778939
1430,2017-07-21,2565,0,1683,0.31230238426190204,0.21854165174242787,0.12404184396663845,0.09255751992796354,0.08105368544314943,0.0764298781283661
1430,2017-07-28,2570,1,1730,0.3416861179991037,0.2876145674962926,0.11406059582094255,0.12106660803595916,0.04729000957099209,0.04324838014667341
1430,2017-08-04,2575,2,1733,0.1671368221293908,0.15529056322764193,0.05331297476817389,0.05981477881354849,0.019317349857973818,0.0036871525502580054
1430,2017-08-11,2580,3,1724,0.055546235741051685,0.07845164831890027,0.022336619712045515,0.0477199836164208,0.03245505943759041,0.05565732676652733
1430,2017-08-18,2585,0,1732,0.09142777068839662,0.07283249573156687,0.04183428944496477,0.050117221393257735,0.025136707245047987,0.003963106415841581
1430,2017-08-25,2590,1,1774,0.0945614937537242,0.056914614464437865,0.034786015161968206,0.03158870243630504,0.007420225444563094,0.04180933461680051
1430,2017-09-01,2595,2,1769,0.17137156541577503,0.11674863438557659,0.09146839615889554,0.06140959218671263,0.03677515973226596,0.0409849654390923
1430,2017-09-08,2600,3,1758,0.23643244567435856,0.14791390621507744,0.1138951956551838,0.06904779335962043,0.06222316620323133,0.030603605399323712
1430,2017-09-15,2605,0,1764,0.29632872166143026,0.21618650587148006,0.10947687293942596,0.0851567131770604,0.03995201309872,0.05005816281812716
1430,2017-09-22,2610,1,1797,0.3179214938084357,0.25033697331612387,0.10531378772522362,0.08133008060638673,0.09947295002715394,0.03515949004483451
1430,2017-09-29,2615,2,1808,0.20641120497230983,0.17036191515580398,0.0731329218287202,0.0652538989343965,0.0541271966430833,0.026157331809604174
1430,2017-10-13,2620,3,1800,0.09712272750701466,0.07263642571083098,0.025023315097496376,0.020904179168994435,0.03648899008753385,-0.010516422499392017
1430,2017-10-20,2625,0,1813,0.0395987649215656,0.030083679079870793,0.0005752661210752606,0.012410874979811339,0.021867496695009,-0.009528659910712141
1430,2017-10-27,2630,1,1832,0.12198358429878768,0.13363628864635027,0.05018738815863903,0.06259941897321464,0.020183558250637175,0.05461764248011888
1430,2017-11-03,2635,2,1832,0.12268981188560546,0.11547531895150588,0.0393976403856421,0.03598783545760957,0.04250873846352938,0.014538480695354742
1430,2017-11-10,2640,3,1814,0.040579261705018674,0.0900493629455957,0.02979819707883437,0.03531724660879564,0.008567166279991044,0.025178367534021112
1430,2017-11-17,2645,0,1820,0.11490661617181552,0.11119348846561057,0.05735520368754086,0.0403834939972692,0.030728849323540565,0.0127298815265108
1430,2017-11-24,2650,1,1853,0.1385290881545118,0.1359443969792724,0.054500577061883854,0.05287876471533358,0.0582946965084584,0.027611838289088163
1430,2017-12-01,2655,2,1857,0.2097561873297832,0.18657031484283942,0.07465664000734938,0.06428943856263761,0.06614078549354288,0.05118302936351809
1430,2017-12-08,2660,3,1846,0.21031965731696,0.18266217185667835,0.06636779291914971,0.05645463929621379,0.08748464356002868,0.05545003183089977
1430,2017-12-15,2665,0,1851,0.26883533666161236,0.20623036498137576,0.09728090231844878,0.08534904131838876,0.06582593310970611,0.07235639413544086
1430,2017-12-22,2670,1,1877,0.13443520826482402,0.10684930141152343,0.042811513192675274,0.0334088023898894,0.04435538543703412,0.025981334873211935
1430,2017-12-29,2675,2,1894,-0.03997144010436658,-0.04225571256595285,-0.011194193040691539,-0.02051999738606841,-0.01781242672937883,0.013781334035235538
1445,2017-01-06,2435,2,1447,0.20247891799018342,0.14774053020974298,0.052042165650820815,0.029289242814684258,0.03669053430033174,0.052748199567815617
1445,2017-01-13,2440,3,1448,0.1795996669427077,0.18807905285805424,0.04711626401735379,0.04041586146437718,0.06308617050922327,0.06709459527248057
1445,2017-01-20,2445,0,1458,0.29918830872635377,0.2212253997963673,0.09206169927613167,0.08702249293424318,0.11412914906745923,0.08716109779742072
1445,2017-02-03,2450,1,1497,0.36950502637972976,0.22877947480175576,0.12311747007485285,0.0945464638354813,0.15758458565533556,0.10573843419785697
1445,2017-02-10,2455,2,1491,0.40779296894383915,0.22996188984130597,0.1462754785042606,0.09027663784940734,0.12888303968771264,0.059576798960208545
1445,2017-02-17,2460,3,1487,0.23546133394354438,0.13133917299032752,0.10184350355573131,0.05042597794188722,0.13239273015795014,0.054529184519751486
1445,2017-02-24,2465,0,1503,0.10139742398234003,0.045137283723625646,0.03508616459686891,0.017204243446855495,0.05377852355346175,0.03615843948348206
1445,2017-03-03,2470,1,1551,0.0735011139724528,0.04439945414278354,0.02531323801156231,0.01629709427201775,0.027026758984311266,-0.017115572399461862
1445,2017-03-10,2475,2,1536,0.12847132274805168,0.09438981308505295,0.058559022542789045,0.0452692361666813,0.019543884409901107,-0.00234636118542492
1445,2017-03-17,2480,3,1541,0.1250604968030694,0.09852642654502076,0.06905961009449259,0.04952060335293842,-0.017518585028830275,0.012141563036086057
1445,2017-03-24,2485,0,1554,0.05985114654808244,0.08037120054354616,0.05110020925546245,0.04896749873540454,-0.009483102257712876,0.02792019106102318
1445,2017-03-31,2490,1,1592,0.00805674346720168,0.003047168048366393,0.03821014732147315,0.0075334679117900726,0.004389069821946963,-0.014511369907191003
1445,2017-04-11,2495,2,1579,0.19022938875357345,0.10051136525222466,0.07403013868281143,0.02152589572316249,0.010534406773907143,0.02584938724603474
1445,2017-04-18,2500,3,1576,0.052393610973072706,0.029123653117872045,-9.349409370700956e-05,-0.021382477927128458,0.033293971838721945,0.009313442170291456
1445,2017-04-25,2505,0,1589,-0.04810915769261697,0.007622096198709888,-0.021407043660923292,-0.013078037641403344,0.0046452302311079914,0.0183843968106277
1445,2017-05-03,2510,1,1628,0.09216482476915908,0.06784136648273266,0.08268033449533022,0.05219708036532177,0.08616647163317628,0.03233858218328186
1445,2017-05-10,2515,2,1613,0.13363328382555106,0.16672261603108504,0.10121675136409446,0.07493765769607347,0.041532188033518894,0.012131199489491887
1445,2017-05-17,2520,3,1608,0.20497245855186982,0.23051975277613054,0.10723684797412716,0.07819559642994137,0.03550828124790943,0.0895709155818776
1445,2017-05-24,2525,0,1614,0.14394078687535525,0.15180332813716307,0.05427730498441458,0.025492881226986217,0.006474793726192503,0.053630467024595195
1445,2017-06-02,2530,1,1660,0.16254064356153314,0.17064518239987153,0.0602138227580118,0.040637244494787575,0.025782295652187672,0.0904763621569803
1445,2017-06-09,2535,2,1656,0.11362216321137379,0.14077143557683824,0.052922647093267494,0.0534068970835175,0.014225860226933132,0.060989437151113116
1445,2017-06-16,2540,3,1641,0.15422595773337253,0.16551752669793407,0.07001111583215278,0.04784996845170631,0.047526439123136394,0.05135274769952654
1445,2017-06-23,2545,0,1641,0.19852774379104268,0.1874732675786054,0.10341429369447457,0.08782523153662092,0.05173010176324107,0.06395906978097565
1445,2017-06-30,2550,1,1682,0.18906885615723085,0.18461471194610943,0.07500325271324809,0.07635090841947767,0.023959840341514903,0.027532260271453914
1445,2017-07-07,2555,2,1680,0.17397919354627087,0.15745456005941855,0.06224442325336506,0.07553740431207448,0.07065886073124017,0.06525657521870341
