day_position,rankic_F,rankic_H,delta,phase,n
3060,0.1589242760051251,0.1168198682697019,0.042104407735423205,3,2941
3065,0.3128129568091104,0.23354584574335532,0.0792671110657551,0,2970
3070,0.3918137396259397,0.3420806251053656,0.04973311452057411,1,2982
3075,0.29166901205378754,0.2513231071885901,0.04034590486519746,2,2973
3080,0.2045280016475596,0.21053540329713993,-0.0060074016495803295,3,2996
3085,0.21627846815965526,0.1957930342587861,0.020485433900869154,0,3029
3090,0.10654898930794361,0.1438346910515641,-0.03728570174362049,1,3036
3095,0.18163836237742034,0.17833309985549187,0.003305262521928476,2,3032
3100,0.10798524981394057,0.10003164763180142,0.007953602182139155,3,3057
3105,0.0918208139137011,0.08302163355770716,0.008799180355993946,0,3084
3110,0.05422965922002539,0.023280484218727464,0.03094917500129793,1,3085
3115,0.13096243942850208,0.10735467597976736,0.02360776344873472,2,3081
3120,0.1427409555020066,0.10431875386492512,0.03842220163708149,3,3105
3125,0.2652172726533985,0.14304276212344755,0.12217451052995096,0,3118
3130,0.26080212183656853,0.20457748755795574,0.056224634278612795,1,3123
3135,0.2163386407552932,0.17602897470354723,0.04030966605174596,2,3121
3140,0.1741024495595436,0.10483019153173574,0.06927225802780786,3,3136
3145,0.16868776303588448,0.15200946768064114,0.016678295355243344,0,3147
3150,0.028501457298725236,-0.017358492589259124,0.045859949887984364,1,3159
3155,-0.004856667237764762,-0.03562751205126716,0.030770844813502396,2,3160
3160,0.05168900589931765,0.005925600521391591,0.04576340537792606,3,3182
3165,0.04344643643513936,-0.0061983144771311175,0.049644750912270476,0,3191
3170,0.023731391604544714,-0.044301724349882075,0.06803311595442679,1,3201
3175,0.009118290641919559,-0.08407176285967007,0.09319005350158963,2,3201
3180,0.3347300869307218,0.31365050789246723,0.02107957903825458,3,3217
3185,0.3282045655104832,0.27935883610564194,0.048845729404841276,0,3232
3190,0.31033055286197914,0.2068893962635126,0.10344115659846653,1,3236
3195,0.3205975420322651,0.1953407445553419,0.1252567974769232,2,3253
3200,0.16063244019921333,0.11991754637279316,0.04071489382642017,3,3254
3205,0.09418377649904172,0.024247042902196692,0.06993673359684503,0,3248
3210,0.2851429685925069,0.2683296540685335,0.01681331452397339,1,3250
3215,0.28147373413558874,0.28603787523482516,-0.004564141099236418,2,3272
3220,0.247240535696652,0.2833968877507347,-0.036156352054082685,3,3251
3225,0.01579944453138457,0.025170319519760277,-0.009370874988375705,0,3266
3230,0.13569078243781765,0.13430717220764024,0.0013836102301774122,1,3264
3235,0.211387426373339,0.1876286776102701,0.023758748763068882,2,3286
3240,0.23292261515446974,0.22220424320903795,0.010718371945431793,3,3259
3245,0.25064596357959196,0.24359473801675488,0.007051225562837077,0,3278
3250,0.22130134278713878,0.21429051487526937,0.007010827911869411,1,3277
3255,0.22245432813970414,0.21496636568333174,0.007487962456372399,2,3292
3260,0.24900394350483135,0.26249340663852605,-0.013489463133694701,3,3266
3265,0.1543929030725974,0.1512401007120425,0.0031528023605549016,0,3285
3270,0.1358966403544547,0.11486101998903289,0.02103562036542181,1,3279
3275,0.16289099034418666,0.0791235435723583,0.08376744677182836,2,3296
3280,0.23780817506207874,0.18341962110318524,0.0543885539588935,3,3271
3285,0.23124249534305966,0.20199572039001273,0.029246774953046922,0,3291
3290,0.24438164674664453,0.18084890941261828,0.06353273733402626,1,3284
3295,0.12768447806775649,0.0548243956682847,0.07286008239947178,2,3304
3300,0.3188070256481297,0.228733675333051,0.09007335031507868,3,3284
3305,0.4439266290917394,0.42350494908127845,0.020421680010460963,0,3300
3310,0.3672496027956457,0.2951556380208389,0.07209396477480684,1,3290
3315,0.25362214200898414,0.22838704614293046,0.025235095866053686,2,3309
3320,0.18323151723490108,0.15191571607627458,0.031315801158626505,3,3295
3325,0.021852598264831005,0.03483954451522532,-0.012986946250394316,0,3308
3330,0.08815400239823519,0.12804780857585876,-0.03989380617762357,1,3299
3335,0.1389427401603917,0.12145228858172881,0.0174904515786629,2,3320
3340,0.14919891753395828,0.13178869930073875,0.017410218233219532,3,3311
3345,0.3001765266904013,0.29503625264836303,0.005140274042038262,0,3319
3350,0.1803170272534139,0.16100971155789204,0.019307315695521854,1,3340
3355,0.21006694593043587,0.20059468048676055,0.009472265443675326,2,3357
3360,0.27289666875511187,0.25902794737635837,0.013868721378753501,3,3351
3365,0.23354460709808006,0.25424092153950095,-0.020696314441420893,0,3360
3370,0.08268528677926877,0.058894118537220624,0.023791168242048147,1,3353
3375,0.05826397380127576,0.025727675658297165,0.03253629814297859,2,3374
3380,0.06566526229817303,0.04919355853372954,0.016471703764443492,3,3360
3385,-0.06789851526357495,-0.08591529981063148,0.018016784547056533,0,3371
