day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock
2535,2017-06-09,2,K1,1656,0.11302902307454736,0.05649086681382456,0.02225313540548086,0.008227767398318025,0.014025368007162836,True,1430
2535,2017-06-09,2,last_epsilon,1656,-0.10311170611165672,-0.05913590110845468,-0.08517841730984704,0.008227767398318025,-0.09340618470816507,False,1430
2535,2017-06-09,2,negative_last_epsilon,1656,0.10311170611165672,0.05913590110845468,-0.01942020525651363,0.008227767398318025,-0.027647972654831654,False,1430
2535,2017-06-09,2,mean10_epsilon,1656,-0.13980155174542758,-0.0482202354878995,0.06966744844491284,0.008227767398318025,0.06143968104659481,False,1430
2535,2017-06-09,2,negative_mean10_epsilon,1656,0.13980155174542758,0.0482202354878995,0.06704789743137857,0.008227767398318025,0.05882013003306054,False,1430
2540,2017-06-16,3,K1,1641,0.15647108402286466,0.06622587998306079,0.05362061890773475,0.004699054028169307,0.04892156487956544,True,1430
2540,2017-06-16,3,last_epsilon,1641,0.03397582477228732,-0.015536549868113248,-0.0025091775227338077,0.004699054028169307,-0.0072082315509031155,False,1430
2540,2017-06-16,3,negative_last_epsilon,1641,-0.03397582477228732,0.015536549868113248,0.03287686039693653,0.004699054028169307,0.028177806368767225,False,1430
2540,2017-06-16,3,mean10_epsilon,1641,-0.17252909385204138,-0.04969346736115546,-0.005902492604218423,0.004699054028169307,-0.01060154663238773,False,1430
2540,2017-06-16,3,negative_mean10_epsilon,1641,0.17252909385204138,0.04969346736115546,0.0555698541769137,0.004699054028169307,0.05087080014874439,False,1430
2545,2017-06-23,0,K1,1641,0.1805810224085114,0.09611888453955322,0.029533814918249846,0.003616289670472541,0.025917525247777306,True,1430
2545,2017-06-23,0,last_epsilon,1641,0.03602626944955584,-0.010334022872706466,-0.055787535733543336,0.003616289670472541,-0.05940382540401588,False,1430
2545,2017-06-23,0,negative_last_epsilon,1641,-0.03602626944955584,0.010334022872706466,0.0444304139042894,0.003616289670472541,0.04081412423381686,False,1430
2545,2017-06-23,0,mean10_epsilon,1641,-0.18352690312002667,-0.08697731303103998,-0.047265856775144735,0.003616289670472541,-0.050882146445617275,False,1430
2545,2017-06-23,0,negative_mean10_epsilon,1641,0.18352690312002667,0.08697731303103998,0.07333455364375065,0.003616289670472541,0.0697182639732781,False,1430
2550,2017-06-30,1,K1,1682,0.18616141789543147,0.06931427117004724,0.0267030642949976,0.0032675739755678055,0.023435490319429795,True,1430
2550,2017-06-30,1,last_epsilon,1682,0.08840954949395433,0.02304178884168366,0.0011412784612427156,0.0032675739755678055,-0.0021262955143250897,False,1430
2550,2017-06-30,1,negative_last_epsilon,1682,-0.08840954949395433,-0.02304178884168366,0.010548060468863696,0.0032675739755678055,0.00728048649329589,False,1430
2550,2017-06-30,1,mean10_epsilon,1682,-0.1791894040828507,-0.07797863015279984,-0.07224224423213552,0.0032675739755678055,-0.07550981820770332,False,1430
2550,2017-06-30,1,negative_mean10_epsilon,1682,0.1791894040828507,0.07797863015279984,0.030024816227766375,0.0032675739755678055,0.026757242252198568,False,1430
2555,2017-07-07,2,K1,1680,0.17727226920811695,0.06380896285208153,0.07235080942821999,0.0032621493507251995,0.06908866007749478,True,1430
2555,2017-07-07,2,last_epsilon,1680,0.2184815445502719,0.0709020047777033,0.07003629876611134,0.0032621493507251995,0.06677414941538613,False,1430
2555,2017-07-07,2,negative_last_epsilon,1680,-0.2184815445502719,-0.0709020047777033,-0.019882350605136403,0.0032621493507251995,-0.023144499955861604,False,1430
2555,2017-07-07,2,mean10_epsilon,1680,-0.15814442910850968,-0.07292968306137482,-0.10078535062881808,0.0032621493507251995,-0.10404749997954328,False,1430
2555,2017-07-07,2,negative_mean10_epsilon,1680,0.15814442910850968,0.07292968306137482,0.06677445441794892,0.0032621493507251995,0.06351230506722372,False,1430
2560,2017-07-14,3,K1,1688,0.21412441509831318,0.08498486090026008,0.09386713641385237,0.00353862640143652,0.09032851001241585,True,1430
2560,2017-07-14,3,last_epsilon,1688,0.19757530435140322,0.06087340247016809,0.09619611202118297,0.00353862640143652,0.09265748561974645,False,1430
2560,2017-07-14,3,negative_last_epsilon,1688,-0.19757530435140322,-0.06087340247016809,-0.01646725939353928,0.00353862640143652,-0.020005885794975798,False,1430
2560,2017-07-14,3,mean10_epsilon,1688,-0.13834815629810115,-0.06045410330508665,-0.008133379664892951,0.00353862640143652,-0.011672006066329472,False,1430
