day_position,date,phase,predictor,n,rankic,decile_spread,top30_mean,universe_mean,top30_minus_universe,ties_present,clock,seed
2505,2017-04-25,0,F,1589,-0.07514857040327241,-0.021838664771293443,-0.0032989210255133608,-0.0008771055887712317,-0.002421815436742129,False,1430,11
2505,2017-04-25,0,H,1589,-0.09228267780944567,-0.024323751925950564,-0.03168676327525948,-0.0008771055887712317,-0.03080965768648825,False,1430,11
2510,2017-05-03,1,F,1628,0.08529698838269335,0.07550360104975015,0.07204622682183981,-0.0012744605551680615,0.07332068737700786,False,1430,11
2510,2017-05-03,1,H,1628,0.06886857234071203,0.06679347139434406,0.09451888898972054,-0.0012744605551680615,0.09579334954488859,False,1430,11
2515,2017-05-10,2,F,1613,0.13994169786472807,0.10079544110683528,0.07156395861917796,-0.002195397383868013,0.07375935600304596,False,1430,11
2515,2017-05-10,2,H,1613,0.12874594696179825,0.10858296474546009,0.05874364569705601,-0.002195397383868013,0.06093904308092402,False,1430,11
2520,2017-05-17,3,F,1608,0.21584121145267507,0.12426180746588217,0.08321142696465055,0.002641776036640731,0.08056965092800981,False,1430,11
2520,2017-05-17,3,H,1608,0.21568497969062134,0.12346037261486345,0.04716214571769039,0.002641776036640731,0.04452036968104966,False,1430,11
2525,2017-05-24,0,F,1614,0.16624323626590667,0.06432404217269758,0.007507524266839027,0.0029583136981513746,0.004549210568687652,False,1430,11
2525,2017-05-24,0,H,1614,0.14854518375910233,0.0645810424826348,-0.0015122821399321158,0.0029583136981513746,-0.004470595838083491,False,1430,11
2530,2017-06-02,1,F,1660,0.15778658528563336,0.06312667924391123,0.02622716381738428,0.005910958056718147,0.02031620576066613,False,1430,11
2530,2017-06-02,1,H,1660,0.14826275040272113,0.06061001503836583,0.03485474705909534,0.005910958056718147,0.028943789002377193,False,1430,11
2535,2017-06-09,2,F,1656,0.11089381594649202,0.05444287492167804,0.012700745463371277,0.008227767398318025,0.004472978065053252,False,1430,11
2535,2017-06-09,2,H,1656,0.10073512673255308,0.04010708399516509,0.02211556208009521,0.008227767398318025,0.013887794681777185,False,1430,11
2540,2017-06-16,3,F,1641,0.1496216469979444,0.0710867300298471,0.05094884244414667,0.004699054028169307,0.046249788415977364,False,1430,11
2540,2017-06-16,3,H,1641,0.15361448243474143,0.07455670598520978,0.05151470992714167,0.004699054028169307,0.04681565589897236,False,1430,11
2545,2017-06-23,0,F,1641,0.19738350714487557,0.09784628387347855,0.04575019742672642,0.003616289670472541,0.04213390775625388,False,1430,11
2545,2017-06-23,0,H,1641,0.2019670967117187,0.10347425472807628,0.07052988452681651,0.003616289670472541,0.06691359485634396,False,1430,11
2550,2017-06-30,1,F,1682,0.19359892658642802,0.07147318719840509,0.039478614429632825,0.0032675739755678055,0.03621104045406502,False,1430,11
2550,2017-06-30,1,H,1682,0.1886363058565811,0.07935966587510415,0.04961174162647997,0.0032675739755678055,0.04634416765091217,False,1430,11
2555,2017-07-07,2,F,1680,0.1854219685350755,0.08152853438895406,0.0816759986958156,0.0032621493507251995,0.0784138493450904,False,1430,11
2555,2017-07-07,2,H,1680,0.1762737808712173,0.06413591282346585,0.08581670986798902,0.0032621493507251995,0.08255456051726381,False,1430,11
2560,2017-07-14,3,F,1688,0.19569526756108122,0.08245032403508612,0.06493928184111913,0.00353862640143652,0.061400655439682615,False,1430,11
2560,2017-07-14,3,H,1688,0.1628860503941265,0.06490064724078236,0.0625001011726757,0.00353862640143652,0.058961474771239177,False,1430,11
2565,2017-07-21,0,F,1683,0.2622219906002179,0.09647442307409836,0.06089096854751309,0.00462529272805012,0.05626567581946297,False,1430,11
2565,2017-07-21,0,H,1683,0.242384290900939,0.08606076632193954,0.06944618914276361,0.00462529272805012,0.06482089641471349,False,1430,11
2570,2017-07-28,1,F,1730,0.3209948085847525,0.10530191018499133,0.04990909807384014,-0.002017895753558566,0.05192699382739871,False,1430,11
2570,2017-07-28,1,H,1730,0.30067740167566226,0.10145831142412229,0.02516577628751596,-0.002017895753558566,0.027183672041074525,False,1430,11
2575,2017-08-04,2,F,1733,0.15161050424683767,0.0373377482546062,-0.0006649453192949295,-0.0019944727153954553,0.0013295273961005257,False,1430,11
2575,2017-08-04,2,H,1733,0.13816161583845823,0.043452904164193486,-0.007308739051222801,-0.0019944727153954553,-0.005314266335827346,False,1430,11
2580,2017-08-11,3,F,1724,0.049806228874902894,0.022746904525224956,0.03421332084108144,-0.0009291137198111089,0.03514243456089255,False,1430,11
2580,2017-08-11,3,H,1724,0.03944329362493742,0.023133675824494784,0.010963152527498703,-0.0009291137198111089,0.011892266247309812,False,1430,11
2585,2017-08-18,0,F,1732,0.09262515772495242,0.04095405137616061,0.02475278073300918,-0.002388226849323612,0.02714100758233279,False,1430,11
2585,2017-08-18,0,H,1732,0.060368942829982626,0.03866819932427146,0.029165714823951323,-0.002388226849323612,0.03155394167327494,False,1430,11
2590,2017-08-25,1,F,1774,0.09194182056688867,0.03929610245191561,0.007381365386148294,-0.0021674267047423743,0.009548792090890669,False,1430,11
2590,2017-08-25,1,H,1774,0.07154942473962575,0.03270094373393646,-0.013981919107027351,-0.0021674267047423743,-0.011814492402284977,False,1430,11
2595,2017-09-01,2,F,1769,0.16804928953627007,0.08479424136071016,0.058132030977867545,0.004025724113781071,0.054106306864086476,False,1430,11
2595,2017-09-01,2,H,1769,0.15916772229729909,0.07794458410138429,0.04325884320617964,0.004025724113781071,0.03923311909239857,False,1430,11
2600,2017-09-08,3,F,1758,0.2348866865972022,0.11479336468548614,0.08444694876670837,0.004096511930743145,0.08035043683596522,True,1430,11
2600,2017-09-08,3,H,1758,0.21078282522718153,0.10248584556060711,0.06854874541362127,0.004096511930743145,0.06445223348287812,False,1430,11
2605,2017-09-15,0,F,1764,0.2998997473138232,0.11230267003900901,0.04710439105207721,0.0029735003904518627,0.04413089066162535,False,1430,11
2605,2017-09-15,0,H,1764,0.27698892327784297,0.10410324552702316,0.031225794941807786,0.0029735003904518627,0.028252294551355923,False,1430,11
2610,2017-09-22,1,F,1797,0.31575608739742195,0.1027554144920789,0.09753845809027553,0.005374906614903562,0.09216355147537197,False,1430,11
2610,2017-09-22,1,H,1797,0.2948268022522589,0.10365271541599844,0.0910322499461472,0.005374906614903562,0.08565734333124364,False,1430,11
2615,2017-09-29,2,F,1808,0.1986004218581385,0.07112259731964313,0.05185186269809492,0.004944891999195384,0.046906970698899535,False,1430,11
2615,2017-09-29,2,H,1808,0.16580832648533236,0.061811630060482355,0.032300420134561136,0.004944891999195384,0.02735552813536575,False,1430,11
2620,2017-10-13,3,F,1800,0.08101083570293283,0.022078023765061516,0.03158111660644257,0.003265768143458748,0.028315348462983822,False,1430,11
2620,2017-10-13,3,H,1800,0.06251927444010529,0.01742628883366706,0.03333066226914525,0.003265768143458748,0.030064894125686505,False,1430,11
2625,2017-10-20,0,F,1813,0.03625161803797643,0.004335054862041832,0.0377289084775839,0.0058992634390515565,0.03182964503853235,False,1430,11
2625,2017-10-20,0,H,1813,0.017140082066091168,0.001741952740635171,0.016135629086056723,0.0058992634390515565,0.010236365647005165,False,1430,11
2630,2017-10-27,1,F,1832,0.1221088928454662,0.05901487246127112,0.06287420690059661,0.008062931878942924,0.054811275021653685,False,1430,11
2630,2017-10-27,1,H,1832,0.09791238192742466,0.05898981305431508,0.026930942541609208,0.008062931878942924,0.018868010662666284,False,1430,11
2635,2017-11-03,2,F,1832,0.12573799769125218,0.04635838556702661,0.060708525103594486,0.00628652870963732,0.054421996393957166,False,1430,11
2635,2017-11-03,2,H,1832,0.10692214141263576,0.03831087417558314,0.04643311011022888,0.00628652870963732,0.04014658140059156,False,1430,11
2640,2017-11-10,3,F,1814,0.05578228612063575,0.024791820574222516,-0.008702135769029458,0.012150566266239114,-0.020852702035268574,False,1430,11
2640,2017-11-10,3,H,1814,0.023026396001381323,0.012856897964908933,-0.030415282336374125,0.012150566266239114,-0.04256584860261324,False,1430,11
2645,2017-11-17,0,F,1820,0.12708011973752606,0.054099892118656595,0.019105704955291004,0.006845961098640276,0.012259743856650728,False,1430,11
2645,2017-11-17,0,H,1820,0.09933143605300855,0.04385406691066097,-0.057134968884444484,0.006845961098640276,-0.06398092998308476,False,1430,11
2650,2017-11-24,1,F,1853,0.14990126994001668,0.05396649046089953,0.06869848451266686,0.006050486683983453,0.06264799782868341,False,1430,11
2650,2017-11-24,1,H,1853,0.13807163499161879,0.0486634967477388,0.041031236030782264,0.006050486683983453,0.03498074934679881,False,1430,11
2655,2017-12-01,2,F,1857,0.22273427929540762,0.07920540129998699,0.07225405379043272,0.0018260979575140932,0.07042795583291862,False,1430,11
2655,2017-12-01,2,H,1857,0.21365901049431424,0.08225405888106498,0.06080747628584504,0.0018260979575140932,0.05898137832833095,True,1430,11
2660,2017-12-08,3,F,1846,0.1904275409325518,0.06374860782156959,0.09001364420788983,0.0030417877538424193,0.08697185645404741,False,1430,11
2660,2017-12-08,3,H,1846,0.19568632573996356,0.0844714446052619,0.10924778378490979,0.0030417877538424193,0.10620599603106737,False,1430,11
2665,2017-12-15,0,F,1851,0.27639832704925066,0.0931494158011471,0.06853827889232586,-0.00016710989523477696,0.06870538878756063,False,1430,11
2665,2017-12-15,0,H,1851,0.2823876000997935,0.10473111598497584,0.10875424415183564,-0.00016710989523477696,0.10892135404707042,False,1430,11
2670,2017-12-22,1,F,1877,0.13538065419942177,0.053285992168012095,0.07222237577661872,-0.0037601079450771745,0.07598248372169589,False,1430,11
