decision_id,decision_date,year,decision_clock,replay_segment_id,eligible_count,selected_count,oracle_count,selected_oracle_overlap_count,selected_oracle_overlap_share,selected_mean_h20_return,oracle_mean_h20_return,selection_gap_mean_h20_return,selected_median_opportunity_rank
14:45:20141114,2014-11-14,2014,14:45,2011_2020,1280,30,30,1,0.033333333333333333,0.11091763525315433,0.65930492994519851,-0.54838729469204417,790
14:30:20141121,2014-11-21,2014,14:30,2011_2020,1267,30,30,0,0,0.00058155762430692757,0.74182525735834148,-0.74124369973403459,885
14:45:20141121,2014-11-21,2014,14:45,2011_2020,1266,30,30,0,0,0.0099932127525756229,0.73376287188666056,-0.72376965913408497,862.5
14:30:20141128,2014-11-28,2014,14:30,2011_2020,1262,30,30,0,0,-0.090389588573540763,0.57795348453292694,-0.66834307310646768,1039
14:45:20141128,2014-11-28,2014,14:45,2011_2020,1257,30,30,0,0,-0.088037428416292293,0.56341865663250446,-0.65145608504879671,997
14:30:20141205,2014-12-05,2014,14:30,2011_2020,1264,30,30,0,0,-0.028084240365345025,0.48243398593416875,-0.51051822629951382,738.5
14:45:20141205,2014-12-05,2014,14:45,2011_2020,1260,30,30,0,0,-0.020828722514663469,0.47961512866768852,-0.50044385118235202,667.5
14:30:20141212,2014-12-12,2014,14:30,2011_2020,1241,30,30,0,0,-0.043348091503688256,0.270230969004362,-0.31357906050805023,556.5
14:45:20141212,2014-12-12,2014,14:45,2011_2020,1239,30,30,0,0,-0.042213838355420773,0.26726567762441994,-0.30947951597984069,558.5
14:30:20141219,2014-12-19,2014,14:30,2011_2020,1220,30,30,1,0.033333333333333333,0.012108199846835924,0.29278853963895807,-0.28068033979212215,321.5
14:45:20141219,2014-12-19,2014,14:45,2011_2020,1218,30,30,1,0.033333333333333333,0.0080467307808367566,0.30321117008895432,-0.29516443930811759,485
14:30:20141226,2014-12-26,2014,14:30,2011_2020,1216,30,30,3,0.10000000000000001,0.11677171620976562,0.37389763957790556,-0.25712592336813994,322.5
14:45:20141226,2014-12-26,2014,14:45,2011_2020,1213,30,30,3,0.10000000000000001,0.1166048790755012,0.38011603720484283,-0.26351115812934162,355
14:30:20150106,2015-01-06,2015,14:30,2011_2020,1231,30,30,1,0.033333333333333333,0.086135751084366358,0.40393246988926645,-0.31779671880490012,409
14:45:20150106,2015-01-06,2015,14:45,2011_2020,1229,30,30,1,0.033333333333333333,0.076720554085799059,0.37919565350666623,-0.30247509942086714,401
