year,decision_clock,replay_segment_id,component_group,simple_contribution_sum,linked_log_contribution,row_count
2016,14:45,2011_2020,size,-0.0091160042539727062,-0.0089903033652483262,8694
2017,14:30,2011_2020,index,-0.10191902920956822,-0.10980425669279395,8703
2017,14:30,2011_2020,industry,-0.038630246051802208,-0.039395507793188227,8703
2017,14:30,2011_2020,other,-0.099588511358099818,-0.10627236951019731,8752
2017,14:30,2011_2020,size,-0.0029790716187695267,-0.0036224638687875296,8703
2017,14:45,2011_2020,index,-0.087334640982305034,-0.095194747957573697,8677
2017,14:45,2011_2020,industry,-0.043832842094891113,-0.044504218191911873,8677
2017,14:45,2011_2020,other,-0.0862431799392267,-0.0920560459913983,8726
2017,14:45,2011_2020,size,-0.014185337214547124,-0.014965236046602954,8677
2018,14:30,2011_2020,index,-0.34022146862028263,-0.36422984414458837,8669
2018,14:30,2011_2020,industry,-0.013839124103678531,-0.01445950806035568,8669
2018,14:30,2011_2020,other,-0.14141164603856587,-0.15333952054512379,8717
2018,14:30,2011_2020,size,0.011420264576754904,0.011295878944061312,8669
2018,14:45,2011_2020,index,-0.35825761279975943,-0.38315406933785628,8663
2018,14:45,2011_2020,industry,-0.027502353063341173,-0.02824035241224529,8663
2018,14:45,2011_2020,other,-0.10707600981142076,-0.11909309739118898,8711
2018,14:45,2011_2020,size,0.018887331959125116,0.018938429424184309,8663
2019,14:30,2011_2020,index,0.13538018267676119,0.10978415648240995,8739
2019,14:30,2011_2020,industry,0.03122766884257943,0.03046363573853543,8739
2019,14:30,2011_2020,other,0.09044380666504992,0.084055968964734662,8788
2019,14:30,2011_2020,size,0.080635472399330679,0.079689504830994781,8739
2019,14:45,2011_2020,index,0.14622302545988261,0.11988694780290579,8738
2019,14:45,2011_2020,industry,0.045367024946893736,0.044731833694374439,8738
2019,14:45,2011_2020,other,0.057474199805990042,0.051994787110073208,8787
2019,14:45,2011_2020,size,0.080031272621341187,0.079105810210852945,8738
2020,14:30,2011_2020,index,0.079845690552495727,0.05742191719353433,8750
2020,14:30,2011_2020,industry,-0.012328087368471448,-0.013780156344590358,8750
2020,14:30,2011_2020,other,0.023391191432093499,0.011810299310025222,8799
2020,14:30,2011_2020,size,0.046597617744746848,0.046500543296228908,8750
2020,14:45,2011_2020,index,0.082041772828608195,0.05864348362985497,8749
2020,14:45,2011_2020,industry,-0.015276071003755828,-0.017002182713502671,8749
2020,14:45,2011_2020,other,0.0092455334403001403,-0.00248045193650778,8798
2020,14:45,2011_2020,size,0.056554763692582263,0.056687234473811653,8749
2021,14:30,2021_2026,index,0.18046511309533439,0.17472057061075316,8574
2021,14:30,2021_2026,industry,-0.050240926730117499,-0.051858948939421903,8574
2021,14:30,2021_2026,other,0.15474959707843505,0.14339298609868761,8626
2021,14:30,2021_2026,size,0.03577109509896842,0.035352804751464226,8574
2021,14:45,2021_2026,index,0.18394744870638458,0.17743797325053531,8574
2021,14:45,2021_2026,industry,-0.047389178908389049,-0.04885259808400183,8574
2021,14:45,2021_2026,other,0.14555080108019147,0.13456065777283227,8626
2021,14:45,2021_2026,size,0.033558117908660978,0.033721970074867047,8574
2022,14:30,2021_2026,index,-0.027196155634977206,-0.045257430354222639,8721
2022,14:30,2021_2026,industry,0.0094740897473852125,0.0070435742956842014,8721
2022,14:30,2021_2026,other,-0.011401546326749123,-0.032207956657095062,8770
2022,14:30,2021_2026,size,0.00335926903798634,0.0020818887831244655,8721
2022,14:45,2021_2026,index,-0.042642193080108588,-0.059312494155433534,8728
2022,14:45,2021_2026,industry,-0.0016812330699243537,-0.0039229966725809959,8728
2022,14:45,2021_2026,other,0.065046438397446532,0.044960189544089327,8777
2022,14:45,2021_2026,size,0.014433920581727155,0.013208813314439596,8728
2023,14:30,2021_2026,index,0.061770810967986693,0.056960761313890738,8695
2023,14:30,2021_2026,industry,0.039764880869222669,0.038386548115864595,8695
2023,14:30,2021_2026,other,-0.14407144922458531,-0.1577251984917219,8743
2023,14:30,2021_2026,size,-0.059566247848934738,-0.059252696835379981,8695
2023,14:45,2021_2026,index,0.049570634968501684,0.044433558892104867,8696
2023,14:45,2021_2026,industry,0.035819562179475031,0.0341154131672868,8696
2023,14:45,2021_2026,other,-0.14444580219867637,-0.15786612974948236,8744
2023,14:45,2021_2026,size,-0.05168117116257416,-0.051443376351681308,8696
2024,14:30,2021_2026,index,0.074931862457849038,0.0019082441656034573,8683
2024,14:30,2021_2026,industry,-0.025044216989385051,-0.030045246876027429,8683
2024,14:30,2021_2026,other,-0.046374449886888117,-0.072721701656982801,8731
2024,14:30,2021_2026,size,-0.0074108827147202853,-0.0099114315965150961,8683
2024,14:45,2021_2026,index,0.063519883364336782,-0.0077710877248763363,8679
2024,14:45,2021_2026,industry,-0.021310994693682372,-0.026886629246598803,8679
2024,14:45,2021_2026,other,-0.026298599969434421,-0.054016679200598015,8727
2024,14:45,2021_2026,size,-0.0029822313819375906,-0.0052247289239588952,8679
2025,14:30,2021_2026,index,0.20790722198037737,0.17283396151351121,8739
2025,14:30,2021_2026,industry,0.015226077933059901,0.014329549154920856,8739
2025,14:30,2021_2026,other,0.33919617829640775,0.33647136658989818,8788
2025,14:30,2021_2026,size,-0.0016201826890189311,-0.0010980108855231556,8739
2025,14:45,2021_2026,index,0.20731126996993338,0.17519172173739284,8740
2025,14:45,2021_2026,industry,0.0079360947906055284,0.0069736857466414486,8740
2025,14:45,2021_2026,other,0.32797880618208602,0.32210931335586085,8789
2025,14:45,2021_2026,size,-0.0068722901112081326,-0.0065057842483160029,8740
2026,14:30,2021_2026,index,0.06503342234339643,0.055464161349960586,5593
2026,14:30,2021_2026,industry,0.013863539084085819,0.01332193699708329,5593
2026,14:30,2021_2026,other,-0.14175397336701473,-0.16331476134073808,5624
2026,14:30,2021_2026,size,0.058244611294657571,0.058321246713150643,5593
2026,14:45,2021_2026,index,0.066168003784750379,0.056282192688273829,5595
2026,14:45,2021_2026,industry,0.016087737364492035,0.015464223985788995,5595
2026,14:45,2021_2026,other,-0.17284118730591425,-0.19347083716055721,5626
2026,14:45,2021_2026,size,0.063499628837919847,0.063572056022840717,5595
