clock,day_position,n,h_ic,h_spread,h_top30_excess
1430,2630,1832,0.10278670729183217,0.0527638409257236,0.04714738402284316
1430,2635,1832,0.10404841679834399,0.0405967447030755,0.042130332695105105
1430,2640,1814,0.00915320489380594,0.010842071821686724,0.007370507234076234
1430,2645,1820,0.08629585607401304,0.04194746558809689,-0.08251086046104665
1430,2650,1853,0.1390118237410162,0.046234070054708504,0.018033046516141446
1430,2655,1857,0.21297695882026416,0.08141133395555378,0.0636746292064241
1430,2660,1846,0.20799091122998806,0.08021272252066727,0.11360743605978946
1430,2665,1851,0.2745601287898612,0.10311947239459039,0.09197974754533218
1430,2670,1877,0.13655667800231144,0.05729713015890815,0.057829530720335795
1430,2675,1894,-0.025872886059497585,-0.000340728870705115,-0.01223511078047527
1445,2435,1447,0.19595305220290574,0.05034300208732627,0.03419765968792088
1445,2440,1448,0.15173207516864148,0.04704723754427202,0.07206443739907357
1445,2445,1458,0.2735786183722028,0.08776950562364774,0.11392065708022091
1445,2450,1497,0.3223839996567861,0.10928986918559336,0.13940781165769098
1445,2455,1491,0.2969467764352671,0.108343417771495,0.10111823049400215
1445,2460,1487,0.18289242827467406,0.08009946965663599,0.08517132665105524
1445,2465,1503,0.054130122802785695,0.03106372135342099,0.04625186147694878
1445,2470,1551,0.03532014292275599,0.01192203122101942,0.012511711109815568
1445,2475,1536,0.1491827058200379,0.06274263930473811,0.017726841804260117
1445,2480,1541,0.13885742387045627,0.05979194655971354,0.014800215038077925
1445,2485,1554,0.06683861473168733,0.03701828763024101,0.018080361879391774
1445,2490,1592,-0.00330889278385926,0.022320858067056786,-0.013711260240884478
1445,2495,1579,0.1733382974753743,0.07236649151933006,0.02826977947494606
1445,2500,1576,0.013016507851806126,-0.014808898227019415,0.01688002464390726
1445,2505,1589,-0.09394722521887743,-0.037541652788063457,-0.029260638963508882
1445,2510,1628,0.054224344464881856,0.052949765871205645,0.07178696029420721
1445,2515,1613,0.13311822714775678,0.10285034547820225,0.052865007364956244
1445,2520,1608,0.217513616436242,0.11296288781304611,0.05244064760167953
1445,2525,1614,0.1507334533054031,0.05554410931728842,0.012046594134456506
1445,2530,1660,0.17224837918299848,0.07767477857123595,0.03482032579492833
1445,2535,1656,0.12021351589776655,0.05336131202727274,0.021700788777976206
1445,2540,1641,0.1425629401241818,0.07956797774776778,0.04939450605986773
1445,2545,1641,0.19750640022695454,0.10580750267169006,0.06327471663830933
1445,2550,1682,0.18197017542025112,0.07450056351670009,0.040343292961872175
1445,2555,1680,0.16175259675463963,0.060573972995501074,0.0804154289296429
1445,2560,1688,0.17456789395343547,0.07060196642296865,0.04878292345921609
1445,2565,1683,0.2562868432512685,0.09388446383880883,0.037954599512503885
1445,2570,1730,0.3101553226197392,0.10561904553599882,0.03343982767782194
1445,2575,1733,0.1334467583325308,0.0334276555220146,0.02126672518063774
1445,2580,1724,0.04536347438318495,0.022189005404111097,0.03973696695124292
1445,2585,1732,0.05808428569185253,0.040085557674096814,0.033498213280519044
1445,2590,1774,0.06676874674548146,0.03521624061167472,-0.0019118981723778546
1445,2595,1769,0.1489007642201899,0.07117043770201482,0.025252270963944737
1445,2600,1758,0.19627800186971425,0.104411889097038,0.05755639215076516
1445,2605,1764,0.25968292481438626,0.10180837245901454,0.04351238273888396
1445,2610,1797,0.2846924074997943,0.09116984770964448,0.07539339098790349
1445,2615,1808,0.1485917430265373,0.05403350340558164,0.0327551730114156
1445,2620,1800,0.04293034844372823,0.0058144358825908665,0.019382196320764756
1445,2625,1813,0.011960505952885208,-0.004863031825645009,0.002127755506427852
1445,2630,1832,0.09582277552125723,0.05514215849514267,0.030245046658995585
1445,2635,1832,0.10431568333737695,0.049008911525795,0.040070339765182844
1445,2640,1814,0.02067980209236762,0.00903412319460269,0.0032023038720584446
1445,2645,1820,0.07605560974476033,0.03174469831711766,-0.04348302811737892
1445,2650,1853,0.1329866026669063,0.046123202078318146,0.009698262980484672
1445,2655,1857,0.19890029923820912,0.07737415311763668,0.06429478642685661
1445,2660,1846,0.21645357058977416,0.08060272276539446,0.1079420275243482
1445,2665,1851,0.27637903553024984,0.09994114369147683,0.07501457271086982
1445,2670,1877,0.14169880884909913,0.057062065472078066,0.048868920643035337
1445,2675,1894,-0.003977381402913445,-0.009275522031611886,-0.026815465468397543
